Date,Open,High,Low,Close,Adj Close,Volume
14-03-2011,4.764,4.8,4.36,4.592,4.592,26325000
21-03-2011,4.61,4.61,4.354,4.55,4.55,12238000
28-03-2011,4.54,5.742,4.51,5.332,5.332,87097000
04-04-2011,5.366,5.588,5.046,5.298,5.298,59176000
11-04-2011,5.294,5.306,4.84,5.116,5.116,29326000
18-04-2011,5.026,5.396,4.872,5.348,5.348,19029500
25-04-2011,5.34,5.574,5.194,5.52,5.52,27619000
02-05-2011,5.52,5.56,5.15,5.424,5.424,24716000
09-05-2011,5.4,5.79,5.33,5.51,5.51,23518500
16-05-2011,5.598,5.688,5.104,5.594,5.594,31085000
23-05-2011,5.524,5.952,5.234,5.91,5.91,55972000
